PaperID,ShortKey,Year,Title,Journal,OpenAlexJournal,DOI,URL,Theme,QuartileEvidence,ReadingBasis,LocalFile,ModuleLink,KeyFinding,UseInOurPaper,LimitationsForUse,OpenAlexYear,OpenAlexCitedBy,AbstractAvailable,OpenAccessPDF,OpenAccessLanding,关键发现,在本文中的可能用法
P20,Saito_PR_AUC_2015,2015,The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets,PLOS ONE,PLoS ONE,10.1371/journal.pone.0118432,https://doi.org/10.1371/journal.pone.0118432,Imbalanced evaluation / PR-AUC,PLOS ONE is broad peer-reviewed journal; verify current quartile manually,open access article,,M3 low-event-rate evaluation,Precision-recall curves can be more informative than ROC curves for imbalanced classification.,Supports our Module 3 interpretation that PR-AUC and risk-tier enrichment are more clinically relevant than accuracy alone.,"General classification methodology, not medical-specific.",2015,4522,yes,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0118432&type=printable,https://doi.org/10.1371/journal.pone.0118432,在类别不平衡任务中，PR 曲线通常比 ROC 曲线更能反映阳性预测的实际价值。,可能用于支撑 Module 3 低事件率 H1 任务中 PR-AUC、PPV 和风险富集比 accuracy 更关键。
P21,TRIPOD_AI_2024,2024,TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods,BMJ,BMJ,10.1136/bmj-2023-078378,https://www.bmj.com/content/385/bmj-2023-078378,Reporting guideline,BMJ is a top-tier medical journal,guideline/reporting statement,,Reporting standard,"Clinical prediction studies should report data sources, candidate predictors, missing data, validation, performance, calibration and intended use clearly.",Supports the report structure and the claim-evidence map.,"Guideline, not empirical evidence for our model.",2024,1916,yes,https://www.bmj.com/content/bmj/385/bmj-2023-078378.full.pdf,https://doi.org/10.1136/bmj-2023-078378,TRIPOD+AI 要求清楚报告数据来源、候选预测因子、缺失处理、验证、性能、校准和预期用途。,可能用于规范全文报告结构、claim-evidence map 和模型用途边界。
P22,PROBAST_AI_2025,2025,"PROBAST+AI: an updated quality, risk of bias, and applicability assessment tool for prediction models using regression or artificial intelligence methods",BMJ,BMJ,10.1136/bmj-2024-082505,https://www.bmj.com/content/388/bmj-2024-082505,Risk of bias / applicability,BMJ is a top-tier medical journal,quality/risk-of-bias tool,,Bias and applicability checklist,"Prediction model studies should be judged by participants, predictors, outcome, analysis, validation and applicability.",Supports our bias-control language and limitations.,Does not validate our results; it guides reporting quality.,2025,309,yes,https://www.bmj.com/content/bmj/388/bmj-2024-082505.full.pdf,https://doi.org/10.1136/bmj-2024-082505,PROBAST+AI 强调从研究对象、预测因子、结局、分析、验证和适用性评估偏倚风险。,可能用于审稿风险自查，尤其是泄漏、适用性和偏倚风险讨论。
P23,TRIPOD_2015,2015,Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD): the TRIPOD statement,Annals of Internal Medicine,Annals of Internal Medicine,10.7326/M14-0697,https://doi.org/10.7326/M14-0697,Prediction model reporting,Annals of Internal Medicine is top-tier,reporting guideline,,Reporting standard,Transparent reporting is required for reproducibility and appraisal.,Supports our table/figure manifest and methods reporting.,Pre-AI guideline; supplemented by TRIPOD+AI.,2015,2828,yes,https://dspace.library.uu.nl/handle/1874/333473,https://dspace.library.uu.nl/handle/1874/333473,临床预测模型需要透明报告，便于复现和独立评价。,可能用于补充 TRIPOD+AI 的传统预测模型报告基础。
P24,PROBAST_2019,2019,PROBAST: A Tool to Assess the Risk of Bias and Applicability of Prediction Model Studies,Annals of Internal Medicine,Annals of Internal Medicine,10.7326/M18-1376,https://doi.org/10.7326/M18-1376,Risk of bias / prediction models,Annals of Internal Medicine is top-tier,risk-of-bias tool,,Risk-of-bias framing,"Bias can enter through participant selection, predictor measurement, outcome definition and analysis.","Supports our leakage, missing-data and temporal-test checks.",Original version not AI-specific; use with PROBAST+AI.,2018,2458,yes,https://research-information.bris.ac.uk/ws/files/182511767/probast.pdf,https://research-information.bris.ac.uk/en/publications/c422892f-82b3-4a81-a5a6-c3c6151555d5,预测模型偏倚可来自对象选择、预测因子测量、结局定义和分析流程。,可能用于说明本文为何单列 leakage audit、缺失处理、temporal test 和适用性限制。
P25,Riley_SampleSize_2020,2020,Minimum sample size for developing a multivariable prediction model: PART II - binary and time-to-event outcomes,Statistics in Medicine,Statistics in Medicine,10.1002/sim.7992,https://doi.org/10.1002/sim.7992,Prediction model sample size,"Statistics in Medicine is a leading biostatistics journal; Q1/Q2, verify manually",methods article,,Model complexity and limitations,"Prediction model development requires attention to overfitting, shrinkage, event fraction and anticipated performance.",Supports our argument that not all tasks justify high-capacity nonlinear models.,Generic methods paper; exact calculations would need our final event counts and predictor degrees of freedom.,2018,1124,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sim.7992,https://doi.org/10.1002/sim.7992,预测模型开发需要考虑过拟合、事件数、收缩和预期性能，避免模型复杂度超过数据支持。,可能用于支撑本文不盲目升级高容量模型、优先保留校准良好 LR 的保守策略。
P26,Steyerberg_PerformancePrediction_2010,2010,Assessing the performance of prediction models: a framework for traditional and novel measures,Epidemiology,Epidemiology,10.1097/EDE.0b013e3181c30fb2,https://doi.org/10.1097/EDE.0b013e3181c30fb2,Prediction performance framework,Epidemiology is a high-quality methods journal; verify quartile manually,methods article,,Evaluation completeness,No single metric is sufficient for clinical prediction models.,"Supports our use of ROC-AUC, PR-AUC, Brier, calibration, DCA and tiers together.","General framework, not disease-specific.",2009,4784,yes,,http://hdl.handle.net/1765/28287,临床预测模型不能只依赖单一指标，需要同时报告判别、校准和临床实用性。,可能用于支撑多指标评价框架：ROC-AUC、PR-AUC、Brier、校准、DCA 和风险层级共同解释。
P27,Debray_IndividualParticipantPrediction_2017,2017,Individual participant data meta-analysis for a binary outcome: one-stage or two-stage?,Statistics in Medicine,Statistics in Medicine,10.1002/sim.7582,https://doi.org/10.1002/sim.7582,Prediction validation / heterogeneity,"Statistics in Medicine; Q1/Q2, verify manually",methods metadata,,External-validation limitation,Heterogeneity and transportability matter when estimating and validating prediction effects.,Supports the limitation that our thresholds and calibration require external validation.,Not specific to landmark or thyroid disease.,2017,26,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sim.7582,https://doi.org/10.1002/sim.7582,个体参与者数据预测研究需要关注异质性和模型可迁移性。,可能用于讨论外部验证和中心间迁移风险，避免把单中心 temporal test 写成已充分泛化。
P28,Rajkomar_NPJ_EHR_2018,2018,Scalable and accurate deep learning with electronic health records,npj Digital Medicine,npj Digital Medicine,10.1038/s41746-018-0029-1,https://doi.org/10.1038/s41746-018-0029-1,Clinical ML with longitudinal EHR,"npj Digital Medicine is a high-impact digital medicine journal; Q1/Q2, verify manually",open access clinical ML article,,Clinical ML context,"Longitudinal EHR information can improve predictions, but model complexity requires careful validation and interpretation.",Supports the general idea of longitudinal medical data prediction while justifying our simpler model choice.,"Different scale, data type and clinical setting.",2018,2360,yes,https://www.nature.com/articles/s41746-018-0029-1.pdf,https://doi.org/10.1038/s41746-018-0029-1,纵向 EHR 信息可提升临床预测，但复杂模型必须配套严格验证和解释。,可能用于把本文放入 longitudinal EHR / clinical ML 背景，同时解释为何当前数据规模下不强推深度模型。
P29,Miotto_DeepPatient_2016,2016,Deep Patient: An Unsupervised Representation to Predict the Future of Patients from the Electronic Health Records,Scientific Reports,Scientific Reports,10.1038/srep26094,https://doi.org/10.1038/srep26094,Longitudinal EHR representation learning,Scientific Reports is broad peer-reviewed journal; verify current quartile manually,open access clinical ML article,,Longitudinal ML background,Temporal EHR histories can encode future disease risk.,Background for representation learning and why we avoid unreviewable black-box complexity in this dataset.,Not thyroid-specific and much larger EHR scale than our cohort.,2016,1717,yes,https://www.nature.com/articles/srep26094.pdf,https://doi.org/10.1038/srep26094,EHR 历史可学习到与未来疾病风险相关的患者表征。,可能用于表示纵向历史可以形成风险表征，但本文采用更透明的 landmark feature 而非黑箱表示学习。
P30,Keogh_CF_DynamicPrediction_2019,2019,Dynamic prediction of survival in cystic fibrosis: a landmarking analysis using UK patient registry data,Epidemiology,Epidemiology,10.1097/EDE.0000000000000920,https://journals.lww.com/epidem/fulltext/2019/01000/dynamic_prediction_of_survival_in_cystic_fibrosis_.5.aspx,Clinical dynamic prediction example,"Epidemiology is a leading epidemiology journal; Q1/Q2, verify current local quartile manually",journal full text + repository metadata,,Dynamic prediction clinical example,Repeated clinical measurements can update patient-specific risk over time.,External analogy for our M2/M3 landmark updating strategy.,"Different disease, endpoint and survival model; used only as methodological analogy.",2018,48,yes,,https://doi.org/10.1097/ede.0000000000000920,重复临床测量可用于随时间更新患者特异性风险，是动态预测在真实注册队列中的临床例子。,可能作为非内分泌领域动态预测类比，支撑 M2/M3 随访中持续更新风险的临床逻辑。
