Branch,Feature,特征类别,英文特征名,中文含义
global,Delta_TSH_k0_x_CoreWindow_3M->6M,窗口特异特征,global::Delta_TSH_k0_x_CoreWindow_3M->6M,3M->6M 窗口专用版的“当前 TSH 相对基线变化”：当前预测区间是 3M->6M 时，取原特征数值；不是这个窗口时填 0。
global,CoreWindow_6M->12M,窗口0/1开关,global::CoreWindow_6M->12M,0/1 开关：当前预测区间是 6M->12M 时为 1，否则为 0。
global,Time_In_Normal_x_CoreWindow_6M->12M,窗口特异特征,global::Time_In_Normal_x_CoreWindow_6M->12M,6M->12M 窗口专用版的“截至当前窗口，患者此前处于正常甲功状态的累计次数”：当前预测区间是 6M->12M 时，取原特征数值；不是这个窗口时填 0。
global,FT3_Current_x_CoreWindow_6M->12M,窗口特异特征,global::FT3_Current_x_CoreWindow_6M->12M,6M->12M 窗口专用版的“当前 FT3（游离三碘甲状腺原氨酸）”：当前预测区间是 6M->12M 时，取原特征数值；不是这个窗口时填 0。
global,Delta_TSH_k0_x_CoreWindow_6M->12M,窗口特异特征,global::Delta_TSH_k0_x_CoreWindow_6M->12M,6M->12M 窗口专用版的“当前 TSH 相对基线变化”：当前预测区间是 6M->12M 时，取原特征数值；不是这个窗口时填 0。
z3M,selected_z3m_00,3M早期反应潜在表征,z3M::selected_z3m_00,3M 早期反应编码器的第 00 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_01,3M早期反应潜在表征,z3M::selected_z3m_01,3M 早期反应编码器的第 01 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_02,3M早期反应潜在表征,z3M::selected_z3m_02,3M 早期反应编码器的第 02 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_03,3M早期反应潜在表征,z3M::selected_z3m_03,3M 早期反应编码器的第 03 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_04,3M早期反应潜在表征,z3M::selected_z3m_04,3M 早期反应编码器的第 04 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_05,3M早期反应潜在表征,z3M::selected_z3m_05,3M 早期反应编码器的第 05 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_06,3M早期反应潜在表征,z3M::selected_z3m_06,3M 早期反应编码器的第 06 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_07,3M早期反应潜在表征,z3M::selected_z3m_07,3M 早期反应编码器的第 07 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_08,3M早期反应潜在表征,z3M::selected_z3m_08,3M 早期反应编码器的第 08 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_09,3M早期反应潜在表征,z3M::selected_z3m_09,3M 早期反应编码器的第 09 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_10,3M早期反应潜在表征,z3M::selected_z3m_10,3M 早期反应编码器的第 10 个潜在表征维度，不单独对应某一个临床变量。
z3M,selected_z3m_11,3M早期反应潜在表征,z3M::selected_z3m_11,3M 早期反应编码器的第 11 个潜在表征维度，不单独对应某一个临床变量。
z3M,z3m_available,3M表征可用性/时间,z3M::z3m_available,3M 早期反应表征是否可用：3M 前为 0，3M 及之后为 1。
z3M,z3m_time_since_3m,3M表征可用性/时间,z3M::z3m_time_since_3m,距离 3M landmark 的归一化时间；3M 前为 0。
